Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
?,"API-MS-WIN-CORE-KERNEL32-PRIVATE-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
?,"API-MS-WIN-CORE-PRIVATEPROFILE-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-CORE-SHUTDOWN-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
?,"API-MS-WIN-SERVICE-PRIVATE-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"EXT-MS-WIN-NTUSER-UICONTEXT-EXT-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"IESHIMS.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
,"API-MS-WIN-CORE-HANDLE-L1-1-0.DLL",2013-08-22 04:17:23,2013-08-22 04:17:23,2560,HA,0x0000E8ED,0x0000E8ED,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-HEAP-L1-1-0.DLL",2013-08-22 04:17:23,2013-08-22 04:17:23,3072,HA,0x000021C1,0x000021C1,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-HEAP-L1-2-0.DLL",2013-08-22 04:17:24,2013-08-22 04:17:24,3072,HA,0x0000EAF7,0x0000EAF7,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-HEAP-OBSOLETE-L1-1-0.DLL",2013-08-22 04:17:19,2013-08-22 04:17:19,3584,HA,0x0000798B,0x0000798B,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-INTERLOCKED-L1-2-0.DLL",2013-08-22 04:17:30,2013-08-22 04:17:30,3072,HA,0x0000713A,0x0000713A,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-IO-L1-1-0.DLL",2013-08-22 04:17:31,2013-08-22 04:17:31,2560,HA,0x0000FB43,0x0000FB43,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-IO-L1-1-1.DLL",2013-08-22 04:17:24,2013-08-22 04:17:23,3072,HA,0x000045ED,0x000045ED,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-JOB-L1-1-0.DLL",2013-08-22 04:17:20,2013-08-22 04:17:20,2560,HA,0x0000D490,0x0000D490,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-JOB-L2-1-0.DLL",2013-08-22 04:17:35,2013-08-22 04:17:35,2560,HA,0x0000C3E3,0x0000C3E3,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-KERNEL32-LEGACY-L1-1-0.DLL",2013-08-22 04:17:15,2013-08-22 04:17:15,4608,HA,0x00005A05,0x00005A05,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-KERNEL32-LEGACY-L1-1-1.DLL",2013-08-22 04:17:18,2013-08-22 04:17:18,5120,HA,0x00006B5F,0x00006B5F,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-LIBRARYLOADER-L1-1-0.DLL",2013-08-22 04:17:27,2013-08-22 04:17:27,3584,HA,0x0000BD30,0x0000BD30,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-LIBRARYLOADER-L1-2-0.DLL",2013-08-22 04:17:24,2013-08-22 04:17:24,3584,HA,0x0000D4F0,0x0000D4F0,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-LOCALIZATION-L1-2-0.DLL",2013-08-22 04:17:32,2013-08-22 04:17:32,4096,HA,0x00007D2A,0x00007D2A,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-LOCALIZATION-L1-2-1.DLL",2013-08-22 04:17:24,2013-08-22 04:17:24,4096,HA,0x0000E093,0x0000E093,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-LOCALIZATION-L2-1-0.DLL",2013-08-22 04:17:35,2013-08-22 04:17:35,3072,HA,0x00008FA6,0x00008FA6,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-LOCALIZATION-OBSOLETE-L1-2-0.DLL",2013-08-22 04:17:27,2013-08-22 04:17:27,3072,HA,0x0000D48D,0x0000D48D,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
